,Champion,Picks,Bans,Presence,Avg BT,Wins,Losses,Winrate,KDA,GT,CSM,DPM,CSD@15,True Presence
81, Tristana,1,0,1,-,1.0,0.0,100.0,-,32:20:00,10.6,457.0,-2.0,1.0638297872340425
82, Lissandra,0,1,1,7,,,,,0:00,,,,1.0638297872340425
83, Jinx,1,0,1,-,0.0,1.0,0.0,0,31:01:00,10.5,239.0,-4.0,1.0638297872340425
84, Sona,1,0,1,-,0.0,1.0,0.0,13,39:09:00,7.0,450.0,-29.0,1.0638297872340425
85, Neeko,1,0,1,-,0.0,1.0,0.0,0.7,26:57:00,7.9,338.0,-17.0,1.0638297872340425
86, Galio,1,0,1,-,0.0,1.0,0.0,3,30:22:00,2.1,118.0,13.0,1.0638297872340425
87, Wukong,0,0,0,-,,,,,0:00,,,,0.0
88, Amumu,0,0,0,-,,,,,0:00,,,,0.0
89, Katarina,0,0,0,-,,,,,0:00,,,,0.0
90, Shyvana,0,0,0,-,,,,,0:00,,,,0.0
91, Twitch,0,0,0,-,,,,,0:00,,,,0.0
92, Aurelion Sol,0,0,0,-,,,,,0:00,,,,0.0
93, Fizz,0,0,0,-,,,,,0:00,,,,0.0
94, Nidalee,0,0,0,-,,,,,0:00,,,,0.0
95, Xin Zhao,0,0,0,-,,,,,0:00,,,,0.0
96, Brand,0,0,0,-,,,,,0:00,,,,0.0
97, KogMaw,0,0,0,-,,,,,0:00,,,,0.0
98, Sion,0,0,0,-,,,,,0:00,,,,0.0
99, Urgot,0,0,0,-,,,,,0:00,,,,0.0
100, Ivern,0,0,0,-,,,,,0:00,,,,0.0
101, Graves,0,0,0,-,,,,,0:00,,,,0.0
102, Nunu,0,0,0,-,,,,,0:00,,,,0.0
103, Zed,0,0,0,-,,,,,0:00,,,,0.0
104, Darius,0,0,0,-,,,,,0:00,,,,0.0
105, Lux,0,0,0,-,,,,,0:00,,,,0.0
106, Swain,0,0,0,-,,,,,0:00,,,,0.0
107, Vi,0,0,0,-,,,,,0:00,,,,0.0
108, Heimerdinger,0,0,0,-,,,,,0:00,,,,0.0
109, Rammus,0,0,0,-,,,,,0:00,,,,0.0
110, Teemo,0,0,0,-,,,,,0:00,,,,0.0
111, Gnar,0,0,0,-,,,,,0:00,,,,0.0
112, Draven,0,0,0,-,,,,,0:00,,,,0.0
113, Master Yi,0,0,0,-,,,,,0:00,,,,0.0
114, Warwick,0,0,0,-,,,,,0:00,,,,0.0
115, Kassadin,0,0,0,-,,,,,0:00,,,,0.0
116, Shaco,0,0,0,-,,,,,0:00,,,,0.0
117, Twisted Fate,0,0,0,-,,,,,0:00,,,,0.0
118, Jhin,0,0,0,-,,,,,0:00,,,,0.0
119, Fiddlesticks,0,0,0,-,,,,,0:00,,,,0.0
120, Nasus,0,0,0,-,,,,,0:00,,,,0.0
