Champion,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Wins_x,Losses_x,Winrate_x,KDA_x,Avg BT_x,GT_x,CSM_x,DPM_x,GPM_x,CSD@15_x,GD@15_x,XPD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Wins_y,Losses_y,Winrate_y,KDA_y,Avg BT_y,GT_y,CSM_y,DPM_y,GPM_y,CSD@15_y,GD@15_y,XPD@15_y,True Presence_y
 Twisted Fate,14,41,26,3.0,11.0,21.0,3.7,5.3,33:34:00,8.7,441.0,417.0,0.4,679.0,75.0,25.581395348837212,9,30,43,4.0,5.0,44.0,3.2,4.1,34:02:00,7.9,386.0,402.0,-13.1,-147.0,-492.0,43.333333333333336,40,132,56,22.0,18.0,55.0,4.3,4.1,30:44:00,8.1,427.0,413.0,-9.8,275.0,-200.0,56.209150326797385,18,69,97,14.0,4.0,78.0,7.3,3.3,32:24:00,8.3,475.0,430.0,-12.7,130.0,-144.0,96.66666666666667
 Jayce,22,32,25,12.0,10.0,55.0,2.4,8.6,31:40:00,8.7,611.0,410.0,20.5,811.0,488.0,25.116279069767444,4,7,12,2.0,2.0,50.0,2.2,8.7,33:45:00,9.7,609.0,419.0,26.2,834.0,510.0,12.222222222222221,66,79,47,39.0,27.0,59.0,2.9,7.4,30:14:00,8.2,632.0,399.0,7.3,202.0,8.0,47.385620915032675,6,10,18,3.0,3.0,50.0,4.1,8,35:52:00,9.1,620.0,420.0,12.7,558.0,-15.0,17.77777777777778
 Rakan,31,23,25,13.0,18.0,42.0,2.8,8,34:53:00,0.9,154.0,221.0,-6.5,15.0,82.0,25.116279069767444,8,5,14,4.0,4.0,50.0,3.4,8.8,35:49:00,1.0,128.0,227.0,-6.4,-256.0,-202.0,14.444444444444443,21,20,13,11.0,10.0,52.0,4.3,8,29:23:00,1.0,173.0,243.0,-5.7,84.0,-177.0,13.398692810457517,12,7,21,7.0,5.0,58.0,3.8,8,34:23:00,1.2,161.0,240.0,3.4,51.0,-35.0,21.11111111111111
 Xayah,40,11,24,23.0,17.0,58.0,3.7,7.5,33:42:00,9.8,493.0,434.0,-3.7,30.0,41.0,23.72093023255814,19,10,32,8.0,11.0,42.0,3.1,7.7,35:26:00,9.7,502.0,428.0,-2.9,-566.0,-252.0,32.22222222222222,81,35,38,47.0,34.0,58.0,4.6,7.8,30:55:00,10.0,538.0,453.0,1.1,194.0,132.0,37.908496732026144,27,12,43,17.0,10.0,63.0,4.6,7.6,33:32:00,9.8,555.0,456.0,-1.7,243.0,-55.0,43.333333333333336
 Sett,29,22,24,9.0,20.0,31.0,1.8,6.7,32:29:00,3.6,252.0,275.0,-2.7,-29.0,-126.0,23.72093023255814,2,2,4,1.0,1.0,50.0,2.8,8.5,32:10:00,4.2,273.0,304.0,-9.5,298.0,-158.0,4.444444444444445,40,35,25,21.0,19.0,53.0,2.7,7.8,30:10:00,3.3,244.0,285.0,2.3,77.0,145.0,24.509803921568626,5,3,9,3.0,2.0,60.0,1.4,6.7,31:14:00,3.8,269.0,284.0,-1.8,265.0,-448.0,8.88888888888889
 Leona,39,10,23,21.0,18.0,54.0,2.6,8.5,32:49:00,1.2,112.0,229.0,-0.1,18.0,-18.0,22.790697674418606,13,5,20,6.0,7.0,46.0,2.5,8.4,35:09:00,1.2,101.0,224.0,3.3,52.0,76.0,20.0,82,46,42,41.0,41.0,50.0,2.4,7.7,31:07:00,1.3,116.0,237.0,1.1,38.0,-59.0,41.830065359477125,20,7,30,8.0,12.0,40.0,2.2,8.9,32:23:00,1.2,132.0,228.0,4.0,-31.0,-21.0,30.0
 Ornn,20,29,23,13.0,7.0,65.0,5.1,8.8,32:40:00,7.1,336.0,337.0,-9.3,-406.0,-223.0,22.790697674418606,2,0,2,0.0,2.0,0.0,1.8,-,38:26:00,6.3,310.0,304.0,-14.5,-423.0,134.0,2.2222222222222223,34,44,25,11.0,23.0,32.0,2.4,7.2,31:31:00,7.1,349.0,326.0,-19.0,-808.0,-408.0,25.49019607843137,5,0,6,3.0,2.0,60.0,2.8,-,32:42:00,7.4,317.0,337.0,-13.4,-566.0,-293.0,5.555555555555555
 Yone,10,35,21,6.0,4.0,60.0,5.3,7.2,32:22:00,9.7,408.0,429.0,-0.7,239.0,313.0,20.930232558139537,7,6,14,5.0,2.0,71.0,5.4,7.5,30:12:00,9.1,454.0,417.0,-7.0,-79.0,161.0,14.444444444444443,9,17,8,4.0,5.0,44.0,2.7,6.8,27:10:00,8.1,396.0,386.0,-6.8,-243.0,-192.0,8.49673202614379,4,0,4,2.0,2.0,50.0,3.2,-,28:46:00,8.7,442.0,409.0,0.0,-296.0,249.0,4.444444444444445
 Senna,19,25,20,13.0,6.0,68.0,7.2,3.8,33:04:00,3.1,571.0,354.0,-4.7,699.0,401.0,20.46511627906977,16,41,63,6.0,10.0,38.0,3.7,5,32:26:00,3.0,519.0,326.0,-0.8,671.0,406.0,63.33333333333333,11,6,6,2.0,9.0,18.0,2.4,7.8,27:55:00,6.0,442.0,354.0,-3.4,317.0,137.0,5.555555555555555,12,28,44,7.0,5.0,58.0,5.6,4,33:44:00,3.2,622.0,359.0,-2.4,702.0,583.0,44.44444444444444
 Irelia,11,30,19,8.0,3.0,73.0,3.3,6.2,34:41:00,9.4,422.0,437.0,16.0,661.0,270.0,19.069767441860467,4,16,22,3.0,1.0,75.0,2.4,6.1,32:52:00,9.1,432.0,456.0,24.0,1145.0,476.0,22.22222222222222,11,19,10,5.0,6.0,45.0,2.2,8,28:38:00,8.7,308.0,405.0,21.5,408.0,84.0,9.803921568627452,3,0,3,1.0,2.0,33.0,2.7,-,34:11:00,8.5,374.0,397.0,4.3,-382.0,-557.0,3.3333333333333335
