Champion,Picks,Bans,Presence,Wins,Losses,Winrate,KDA,Avg BT,GT,CSM,DPM,GPM,CSD@15,GD@15,XPD@15
 Malzahar,0,0,0%,,,,,-,0:00,,,,,,
 Master Yi,0,0,0%,,,,,-,0:00,,,,,,
 Nami,0,0,0%,,,,,-,0:00,,,,,,
 Nunu,0,0,0%,,,,,-,0:00,,,,,,
 Poppy,0,0,0%,,,,,-,0:00,,,,,,
 Rammus,0,0,0%,,,,,-,0:00,,,,,,
 Rengar,0,0,0%,,,,,-,0:00,,,,,,
 Riven,0,0,0%,,,,,-,0:00,,,,,,
 Sejuani,0,0,0%,,,,,-,0:00,,,,,,
 Shaco,0,0,0%,,,,,-,0:00,,,,,,
 Shyvana,0,0,0%,,,,,-,0:00,,,,,,
 Singed,0,0,0%,,,,,-,0:00,,,,,,
 Sona,0,0,0%,,,,,-,0:00,,,,,,
 Soraka,0,0,0%,,,,,-,0:00,,,,,,
 Swain,0,0,0%,,,,,-,0:00,,,,,,
 Talon,0,0,0%,,,,,-,0:00,,,,,,
 Taric,0,0,0%,,,,,-,0:00,,,,,,
 Teemo,0,0,0%,,,,,-,0:00,,,,,,
 Tryndamere,0,0,0%,,,,,-,0:00,,,,,,
 Twitch,0,0,0%,,,,,-,0:00,,,,,,
 Urgot,0,0,0%,,,,,-,0:00,,,,,,
 Vi,0,0,0%,,,,,-,0:00,,,,,,
 Warwick,0,0,0%,,,,,-,0:00,,,,,,
 Xerath,0,0,0%,,,,,-,0:00,,,,,,
 Xin Zhao,0,0,0%,,,,,-,0:00,,,,,,
 Yasuo,0,0,0%,,,,,-,0:00,,,,,,
 Yorick,0,0,0%,,,,,-,0:00,,,,,,
 Zac,0,0,0%,,,,,-,0:00,,,,,,
 Zed,0,0,0%,,,,,-,0:00,,,,,,
 Ziggs,0,0,0%,,,,,-,0:00,,,,,,
 Zyra,0,0,0%,,,,,-,0:00,,,,,,
 VelKoz,0,0,0%,,,,,-,0:00,,,,,,
 Bard,0,0,0%,,,,,-,0:00,,,,,,
 Illaoi,0,0,0%,,,,,-,0:00,,,,,,
 Aurelion Sol,0,0,0%,,,,,-,0:00,,,,,,
 Ivern,0,0,0%,,,,,-,0:00,,,,,,
 Qiyana,0,0,0%,,,,,-,0:00,,,,,,
