Champion,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y,Picks_x,Bans_x,Presence_x,Avg BT_x,Wins_x,Losses_x,Winrate_x,KDA_x,GT_x,CSM_x,DPM_x,CSD@15_x,True Presence_x,Picks_y,Bans_y,Presence_y,Avg BT_y,Wins_y,Losses_y,Winrate_y,KDA_y,GT_y,CSM_y,DPM_y,CSD@15_y,True Presence_y
 Illaoi,5,15,9,4.5,2.0,3.0,40.0,1.5,40:56:00,7.0,679.0,-5.8,8.968609865470851,0,0,0,-,,,,,0:00,,,,0.0,0,0,0,-,,,,,0:00,,,,0.0,0,1,1,9,,,,,0:00,,,,1.1111111111111112
 Karma,13,6,9,8,7.0,6.0,54.0,7.5,32:06:00,2.7,251.0,-9.8,8.520179372197308,1,1,2,10,0.0,1.0,0.0,0.2,29:48:00,6.6,258.0,-29.0,2.127659574468085,7,4,3,4,3.0,4.0,43.0,3.3,30:19:00,4.4,302.0,0,3.3333333333333335,2,1,3,9,0.0,2.0,0.0,1,35:29:00,3.7,273.0,7.0,3.3333333333333335
 Taliyah,6,12,8,3.7,2.0,4.0,33.0,2.3,33:35:00,7.6,352.0,-7.5,8.071748878923767,3,4,7,9.3,2.0,1.0,67.0,7,36:10:00,7.9,523.0,-12.7,7.446808510638298,10,7,5,7.9,4.0,6.0,40.0,3.4,31:01:00,6.6,456.0,-,5.151515151515151,5,2,8,8,3.0,2.0,60.0,4.2,30:33:00,6.4,518.0,6.4,7.777777777777778
 Cassiopeia,14,4,8,8.8,5.0,9.0,36.0,2.2,31:41:00,8.7,371.0,-1.9,8.071748878923767,10,8,19,8.6,5.0,5.0,50.0,3.8,34:15:00,8.6,365.0,-6.4,19.148936170212767,16,11,8,6.5,7.0,9.0,44.0,3.3,33:59:00,8.0,448.0,0,8.181818181818182,11,16,30,7.7,5.0,6.0,45.0,2.6,34:33:00,9.1,513.0,7.3,30.0
 Kassadin,6,12,8,8.3,2.0,4.0,33.0,4.3,32:03:00,9.4,422.0,-8.7,8.071748878923767,0,0,0,-,,,,,0:00,,,,0.0,25,72,29,6.9,15.0,10.0,60.0,5.6,29:28:00,9.0,530.0,0,29.393939393939394,1,0,1,-,0.0,1.0,0.0,1.3,33:35:00,8.0,398.0,3.0,1.1111111111111112
 Viktor,14,4,8,9,5.0,9.0,36.0,2.6,36:28:00,9.2,564.0,8.4,8.071748878923767,12,4,17,8.3,6.0,6.0,50.0,6.4,36:51:00,9.3,635.0,0.9,17.02127659574468,4,1,2,10,3.0,1.0,75.0,9.0,32:14:00,9.1,694.0,-,1.5151515151515151,8,4,13,3.5,2.0,6.0,25.0,2.5,36:26:00,9.4,597.0,-1.8,13.333333333333334
 Gangplank,10,7,8,8.6,9.0,1.0,90.0,5.1,35:18:00,8.3,651.0,-11.0,7.623318385650224,15,14,31,4.9,6.0,9.0,40.0,3.2,35:31:00,8.8,543.0,-7.1,30.851063829787233,14,21,11,7.8,5.0,9.0,36.0,2.6,34:54:00,8.9,611.0,-,10.606060606060606,24,34,64,6.2,13.0,11.0,54.0,4.1,34:24:00,8.4,588.0,-5.2,64.44444444444444
 Volibear,5,10,7,7.7,3.0,2.0,60.0,2.6,35:29:00,2.7,188.0,11.6,6.726457399103139,0,0,0,-,,,,,0:00,,,,0.0,1,0,0,-,1.0,0.0,100.0,6.0,30:18:00,1.5,186.0,0,0.30303030303030304,0,0,0,-,,,,,0:00,,,,0.0
 Kindred,5,9,6,8.8,2.0,3.0,40.0,2.8,30:27:00,6.2,308.0,5.8,6.278026905829597,1,1,2,9,0.0,1.0,0.0,1.3,38:40:00,5.3,284.0,12.0,2.127659574468085,17,12,9,5,10.0,7.0,59.0,4.0,32:42:00,6.4,369.0,-,8.787878787878787,1,0,1,-,1.0,0.0,100.0,4.5,31:34:00,6.5,400.0,12.0,1.1111111111111112
 Alistar,13,1,6,10,8.0,5.0,62.0,4.7,33:22:00,0.9,104.0,1.8,6.278026905829597,2,0,2,-,1.0,1.0,50.0,3.2,30:03:00,1.1,127.0,-1.0,2.127659574468085,10,1,3,9,4.0,6.0,40.0,2.6,33:25:00,1.0,122.0,-,3.3333333333333335,0,0,0,-,,,,,0:00,,,,0.0
